scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported
sp,1,veh11651,djahel_wc!start_el!medium,27422,490.59,,1397.00,906.4100000000001,2.6146069018936386,61.753332813596316,False
sp,1,veh11651,rfid_dd!250_nc!2,7006,727.15,,1373.00,645.85,1.4066836278622017,28.910809780323998,False
sp,1,veh11651,rfid_dd!250_nc!2,2646,640.31,,1379.00,738.69,1.5527166528712657,35.59674921043633,False
sp,1,veh11651,allgreen,12837,124.18,,831.00,706.8199999999999,8.96682235464648,88.84777727885047,False
sp,1,veh11651,rfid_dd!250_nc!2,10105,881.59,,1663.00,781.41,1.1844848512347008,15.575112762514,False
sp,1,veh11651,kapusta2,22737,104.22,,905.00,800.78,9.840145845327193,89.83754899857635,False
sp,1,veh11651,no-preemption,10280,1044.65,,1826.00,781.3499999999999,,,False
sp,1,veh11651,allgreen,23215,133.42,,788.00,654.58,7.577949332933594,86.80381781316453,False
sp,1,veh11651,petri_lc!True,20395,101.20,,843.00,741.8,9.977569169960475,89.97751874263416,False
sp,1,veh11651,no-preemption,5031,1004.47,,1735.00,730.53,,,False
sp,1,veh11651,rfid_dd!250_nc!2,16993,652.13,,1392.00,739.87,1.5516844800883258,35.55390848898112,False
sp,1,veh11651,djahel_wc!start_el!medium,13518,666.31,,1295.00,628.69,1.556542750371449,35.75505717646607,False
sp,1,veh11651,djahel_wc!start_el!medium,12837,666.29,,1374.00,707.71,1.6711942247369764,40.162550516389764,False
sp,1,veh11651,rfid_dd!250_nc!2,27226,507.86,,1089.00,581.14,2.1338754774937976,53.13690932075925,False
sp,1,veh11651,petri_lc!False,11718,117.48,,788.00,670.52,8.578821927136534,88.34338783933958,False
sp,1,veh11651,rfid_dd!1000_nc!2,21552,227.87,,1137.00,909.13,5.612015622942906,82.18109023232536,False
sp,1,veh11651,petri_lc!False,27548,106.17,,984.00,877.83,12.35688047471037,91.90734261736526,False
sp,1,veh11651,djahel_wc!start_el!medium,20395,635.33,,1375.00,739.67,1.5893000487935403,37.07921919721113,False
sp,1,veh11651,kapusta2,13347,112.65,,896.00,783.35,9.236928539724811,89.17389047994311,False
sp,1,veh11651,djahel_wc!start_el!medium,21035,381.84,,1133.00,751.1600000000001,2.6203645505971087,61.83737107219957,False
sp,1,veh11651,rfid_dd!250_nc!2,11340,728.08,,1416.00,687.92,1.4361471266893748,30.369251073515493,False
sp,1,veh11651,kapusta2,7324,184.86,,855.00,670.14,5.43330087633885,81.59498207885305,False
sp,1,veh11651,djahel_wc!start_el!medium,6479,723.33,,1373.00,649.67,1.4167668975433065,29.41675855541135,False
